"","x"
"1",-0.370690577960682
"2",-1.00116005835444
"3",0.912583704830091
"4",1.06637457879758
"5",-0.169258074933881
"6",-0.747318786056287
"7",-0.134213800944081
"8",1.54554856393406
"9",-0.304019400382246
"10",0.0231424064677522
"11",0.595981659923494
"12",0.948528334721677
"13",-0.614551129918746
"14",0.671704984345975
"15",-1.52552966412294
"16",-0.978054130740933
"17",-0.845004640214825
"18",-1.2152825230563
"19",-0.252044361897853
"20",0.330585012262609
"21",1.07160303658923
"22",-0.791477383285096
"23",0.0911049790848468
"24",1.73353551936717
"25",0.249191258697666
"26",0.32336081372978
"27",-0.449166402086701
"28",-1.08337102986216
"29",0.633602803629783
"30",1.34110586846179
"31",0.363165661889129
"32",-0.425386445148327
"33",-0.641274381170239
"34",-0.789102278679958
"35",0.645427494330443
"36",0.479375067055072
"37",1.22432052048568
"38",-0.650434497464083
"39",1.03188482888214
"40",1.79120188107818
"41",-0.663699175035634
"42",0.727530728335019
"43",0.568425471571362
"44",1.51980162221845
"45",-1.43048356475207
"46",-1.03173118280849
"47",1.00095547270877
"48",0.68221112780608
"49",-0.780953752828317
"50",-0.354592634836437
"51",-0.767289307131809
"52",0.983208867796903
"53",-0.779409403224345
"54",-0.789125215209835
"55",0.10539803256853
"56",-0.530115142635026
"57",-0.391551701695662
"58",0.101171533661994
"59",-1.09355762425959
"60",-0.35710766233754
"61",1.6069962189131
"62",1.29553797472099
"63",-0.331962751251305
"64",0.349043658025084
"65",0.0568420550855236
"66",0.537050196088094
"67",1.23417938776796
"68",-0.788512652176263
"69",0.178236480966566
"70",1.06862029806721
"71",1.1979393375871
"72",1.24766035172352
"73",-0.373507013255828
"74",-0.185243324811802
"75",-0.775915090830395
"76",0.353917485002016
"77",0.796326212441477
"78",0.0584958378553949
"79",-0.7892691080542
"80",-0.747686833620373
"81",-0.766658234116656
"82",-0.827345064980801
"83",-0.762901182353747
"84",0.136707002148215
"85",1.36721398090871
"86",0.255649213465033
"87",1.16838939469095
"88",-1.61452071105582
"89",0.0133961825181878
"90",0.384874412810849
"91",-1.90479511959999
"92",-1.28844474214249
"93",-0.696568716943304
"94",-1.51370957583941
"95",1.58349958389134
"96",0.219511917207978
"97",-0.911719625252475
"98",1.31768558877822
"99",-0.745312176474395
"100",-1.01709983451985
"101",-1.36061290277662
"102",1.08949338888471
"103",-0.790852079441776
"104",-0.424052386485718
"105",1.76242203472789
"106",-0.70240327443696
"107",-0.788310827056448
"108",-0.875590547737068
"109",0.272085382247003
"110",0.655183805156897
"111",-0.4182272684156
"112",-0.209962748323066
"113",0.386961654420421
"114",-0.65353913494275
"115",-0.042996799385058
"116",-1.07076472064683
"117",-1.41764368264253
"118",1.21086653258262
"119",0.437272334687789
"120",-0.870418072385576
"121",0.437208346957988
"122",-1.34326438595649
"123",0.239971051502142
"124",0.974507154372006
"125",2.27686855437122
